2020-02-03 14:34:04,496 [myid:] - INFO  [main:Environment@109] - Server environment:os.memory.free=114MB
2020-02-03 14:34:04,496 [myid:] - INFO  [main:Environment@109] - Server environment:os.memory.max=889MB
2020-02-03 14:34:04,496 [myid:] - INFO  [main:Environment@109] - Server environment:os.memory.total=123MB
2020-02-03 14:34:04,498 [myid:] - INFO  [main:ZooKeeperServer@938] - minSessionTimeout set to 4000
2020-02-03 14:34:04,498 [myid:] - INFO  [main:ZooKeeperServer@947] - maxSessionTimeout set to 40000
2020-02-03 14:34:04,499 [myid:] - INFO  [main:ZooKeeperServer@166] - Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /tmp/zookeeper/version-2 snapdir /tmp/zookeeper/version-2
2020-02-03 14:34:04,535 [myid:] - INFO  [main:Log@193] - Logging initialized @10656ms to org.eclipse.jetty.util.log.Slf4jLog
2020-02-03 14:34:04,745 [myid:] - WARN  [main:ContextHandler@1588] - o.e.j.s.ServletContextHandler@4b952a2d{/,null,UNAVAILABLE} contextPath ends with /*
2020-02-03 14:34:04,745 [myid:] - WARN  [main:ContextHandler@1599] - Empty contextPath
2020-02-03 14:34:04,765 [myid:] - INFO  [main:Server@370] - jetty-9.4.17.v20190418; built: 2019-04-18T19:45:35.259Z; git: aa1c656c315c011c01e7b21aabb04066635b9f67; jvm 1.8.0_111-b14
2020-02-03 14:34:04,839 [myid:] - INFO  [main:DefaultSessionIdManager@365] - DefaultSessionIdManager workerName=node0
2020-02-03 14:34:04,839 [myid:] - INFO  [main:DefaultSessionIdManager@370] - No SessionScavenger set, using defaults
2020-02-03 14:34:04,842 [myid:] - INFO  [main:HouseKeeper@149] - node0 Scavenging every 660000ms
2020-02-03 14:34:04,857 [myid:] - INFO  [main:ContextHandler@855] - Started o.e.j.s.ServletContextHandler@4b952a2d{/,null,AVAILABLE}
2020-02-03 14:34:04,889 [myid:] - INFO  [main:AbstractConnector@292] - Started ServerConnector@51efea79{HTTP/1.1,[http/1.1]}{0.0.0.0:8080}
2020-02-03 14:34:04,889 [myid:] - INFO  [main:Server@410] - Started @11017ms
2020-02-03 14:34:04,890 [myid:] - INFO  [main:JettyAdminServer@112] - Started AdminServer on address 0.0.0.0, port 8080 and command URL /commands
2020-02-03 14:34:04,898 [myid:] - INFO  [main:ServerCnxnFactory@135] - Using org.apache.zookeeper.server.NIOServerCnxnFactory as server connection factory
2020-02-03 14:34:04,902 [myid:] - INFO  [main:NIOServerCnxnFactory@673] - Configuring NIO connection handler with 10s sessionless connection timeout, 1 selector thread(s), 8 worker threads, and 64 kB direct buffers.
2020-02-03 14:34:04,905 [myid:] - INFO  [main:NIOServerCnxnFactory@686] - binding to port 0.0.0.0/0.0.0.0:2181
2020-02-03 14:34:04,924 [myid:] - INFO  [main:ZKDatabase@117] - zookeeper.snapshotSizeFactor = 0.33
2020-02-03 14:34:04,927 [myid:] - INFO  [main:FileTxnSnapLog@384] - Snapshotting: 0x0 to /tmp/zookeeper/version-2/snapshot.0
2020-02-03 14:34:04,931 [myid:] - INFO  [main:FileTxnSnapLog@384] - Snapshotting: 0x0 to /tmp/zookeeper/version-2/snapshot.0
2020-02-03 14:34:04,951 [myid:] - INFO  [main:ContainerManager@64] - Using checkIntervalMs=60000 maxPerMinute=10000
2020-02-03 14:34:54,155 [myid:] - INFO  [SyncThread:0:FileTxnLog@216] - Creating new log file: log.1
2020-02-03 14:34:54,554 [myid:] - WARN  [NIOWorkerThread-1:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0000, likely client has closed socket
2020-02-03 14:34:58,225 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0000, timeout of 4000ms exceeded
2020-02-03 14:38:08,733 [myid:] - WARN  [NIOWorkerThread-4:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0002, likely client has closed socket
2020-02-03 14:38:14,229 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0002, timeout of 4000ms exceeded
2020-02-03 14:39:14,208 [myid:] - WARN  [NIOWorkerThread-3:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0003, likely client has closed socket
2020-02-03 14:39:18,222 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0003, timeout of 4000ms exceeded
2020-02-03 14:39:26,173 [myid:] - WARN  [NIOWorkerThread-2:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0004, likely client has closed socket
2020-02-03 14:39:30,223 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0004, timeout of 4000ms exceeded
2020-02-03 14:42:13,862 [myid:] - WARN  [NIOWorkerThread-1:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0005, likely client has closed socket
2020-02-03 14:42:18,227 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0005, timeout of 4000ms exceeded
2020-02-03 14:45:55,669 [myid:] - WARN  [NIOWorkerThread-8:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0006, likely client has closed socket
2020-02-03 14:46:00,229 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0006, timeout of 4000ms exceeded
2020-02-03 19:42:50,768 [myid:] - WARN  [NIOWorkerThread-7:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0007, likely client has closed socket
2020-02-03 19:42:55,254 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0007, timeout of 4000ms exceeded
2020-02-03 19:42:58,864 [myid:] - WARN  [NIOWorkerThread-6:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0008, likely client has closed socket
2020-02-03 19:43:03,253 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0008, timeout of 4000ms exceeded
